index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तमः	4	तमस्त्वज्ञानजं	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक}/तमस्{नपुं}{8;एक}	तमस्{नपुं}{2;एक}	कर्म,4.1	कर्म,4.1	N2	तमोगुण_को	mode_of_ignorance	-	-
2.1	तु	5	0	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	तो	but	-	-
3.1	अ-	6	0	अज्ञानजम्	अज्ञान	नञ्-तत्पुरुषः,3.2	नञ्-तत्पुरुषः,3.2	CP	अज्ञान_से_उत्पन्न	products_of_ignorance	<<न-ज्ञान>Tn-जं>U	-
3.2	ज्ञान-	-	-		ज{नपुं}{2;एक}	उपपद_तत्पुरुषः,3.3	उपपद_तत्पुरुषः,3.3	CP				-
3.3	जम्	-	-			कर्मसमानाधिकरणम्,4.1	कर्मसमानाधिकरणम्,4.1	N2				-
4.1	विद्धि	7	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहितकर्ता,6.1.1;सकर्मकः.1	अभिहितकर्ता,6.1.1;सकर्मकः.1	KP	जान	knowing	-	-
5.1	मोहनम्	3	मोहनं	मोहन{पुं}{2;एक}	मोहन{नपुं}{2;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N2	मोहित_करनेवाले	delusion	-	-
6.1	सर्व-	2	सर्वदेहिनाम्	सर्व	सर्व	षष्ठी_तत्पुरुषः,6.2	षष्ठी_तत्पुरुषः,6.2	CP	सब_देहाभिमानियों_को	of_all_embodied_beings	<सर्व-देहिनाम्>T6	-
6.2	देहिनाम्	-	-	देहिन्{पुं}{6;बहु}/देहिन्{नपुं}{6;बहु}	देहिन्{पुं}{6;बहु}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6				-
6.1.1	(त्वम्)	2	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,4.1	कर्ता,4.1	N1	(तुम)	you	-	-
7.1	प्रमाद-	10	प्रमादालस्यनिद्राभिस्तन्निबध्नाति	प्रमाद	प्रमाद	इतरेतर-द्वन्द्वः,7.2	इतरेतर-द्वन्द्वः,7.2	CP	प्रमाद_आलस्य_और_निद्रा_के_द्वारा	by_madness_indolence_and_sleep	<प्रमाद-आलस्य-निद्राभिः>Ds	-
7.2	आलस्य-	-	-	आलस्य	आलस्य	इतरेतर-द्वन्द्वः,7.3	इतरेतर-द्वन्द्वः,7.3	CP				-
7.3	निद्राभिः	-	-	निद्रा{स्त्री}{3;बहु}	निद्रा{स्त्री}{3;बहु}	करणम्,9.1	करणम्,9.1	N3				-
8.1	तत्	8	0	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{2;एक}	कर्ता,9.1	कर्ता,9.1	N2	वह	that	-	-
9.1	निबध्नाति	11	0	नि_बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;बन्धँ;क्र्यादिः}	नि_बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;नि_बन्धँ;क्र्यादिः}	अभिहितकर्ता,8.1;सकर्मकः.1	अभिहितकर्ता,8.1;सकर्मकः.1	KP	बाँधता_है	binds	-	-
10.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8	हे_अर्जुन	O_son_of_Bharata	-	-
10.1.1	(देहिनम्)	9	(0)	(देहिन्{पुं}{2;एक})	(देहिन्{पुं}{2;एक})	कर्म,9.1	कर्म,9.1	N2	(इस_जीवात्मा_को)	the_embodied	-	-
												
