index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सत्त्वात्	1	सत्त्वात्सञ्जायते	सत्त्व{पुं}{5;एक}/सत्त्व{नपुं}{5;एक}/सत्त्व{नपुं}{5;एक}	सत्त्व{नपुं}{5;एक}	अपादानम्,2.1	अपादानम्,2.1	N5	सत्त्वगुण_से	from_the_mode_of_goodness	-	-
2.1	सञ्जायते	3	0	सञ्जायते	सम्_जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;सम्_जनीँ;दिवादिः}	अभिहितकर्ता,3.1;अकर्मकः.1	अभिहितकर्ता,3.1;अकर्मकः.1	KP	उत्पन्न_होता_है	develops	-	-
3.1	ज्ञानम्	2	ज्ञानं	ज्ञान{नपुं}{1;एक}/ज्ञान{नपुं}{2;एक}	ज्ञान{नपुं}{1;एक}	कर्ता,2.1	कर्ता,2.1	N1	ज्ञान	knowledge	-	-
4.1	रजसः	5	रजसो	रजस्{पुं}{1;बहु}/रजस्{पुं}{2;बहु}/रजस्{पुं}{5;एक}/रजस्{पुं}{6;एक}/रजस्{नपुं}{5;एक}/रजस्{नपुं}{6;एक}	रजस्{नपुं}{5;एक}	अपादानम्,?.1	अपादानम्,?.1	N5	रजोगुण_से	from_the_mode_of_passion	-	-
5.1	लोभः	7	लोभ	लोभ{पुं}{1;एक}	लोभ{पुं}{1;एक}	कर्ता,7.1.1	कर्ता,7.1.1	N1	लोभ	greed	-	-
6.1	एव	6	एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,4.1	सम्बन्धः,4.1	NA	निःसंदेह	certainly	-	-
7.1	च	4	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,7.1.1	समुच्चयद्योतकः,7.1.1	NA	और	also	-	-
7.1.1	(सञ्जायते)	8	(0)	(सञ्जायते)	(सम्_जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;सम्_जनीँ;दिवादिः})			KP	(उत्पन्न_होता_है)	develops	-	-
8.1	प्रमाद-	11	प्रमादमोहौ	प्रमाद	प्रमाद	द्वन्दः,8.2	द्वन्दः,8.2	CP	प्रमाद_और_मोह	madness_and_illusion	<प्रमाद-मोहौ>Di	-
8.2	मोहौ	-	-	मोह{पुं}{1;द्वि}/मोह{पुं}{2;द्वि}	मोह{पुं}{1;द्वि}	कर्ता,10.1	कर्ता,10.1	N1				-
9.1	तमसः	10	तमसो	तमस्{नपुं}{5;एक}/तमस्{नपुं}{6;एक}/तमस{पुं}{1;एक}	तमस्{नपुं}{5;एक}	अपादानम्,10.1	अपादानम्,10.1	N5	तमोगुण_से	from_the_mode_of_ignorance	-	-
10.1	भवतः	12	भवतोऽज्ञानमेव	भवत्{पुं}{2;बहु}/भवत्{पुं}{5;एक}/भवत्{पुं}{6;एक}/भू1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;भू;भ्वादिः}	अभिहितकर्ता,3.1;अकर्मकः.1	अभिहितकर्ता,3.1;अकर्मकः.1	KP	उत्पन्न_होते_हैं	develops	-	-
11.1	अ-	14	0	अज्ञान{नपुं}{1;एक}/अज्ञान{नपुं}{2;एक}	अज्ञान{नपुं}{1;एक}	नञ्_तत्पुरुषः,11.2	नञ्_तत्पुरुषः,11.2	CP	अज्ञान्	nonsense	<न-ज्ञानम्>Tn	-
11.2	ज्ञानम्	-	-			कर्ता,13.1.1	कर्ता,13.1.1	N1				-
12.1	एव	15	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	भी	certainly	-	-
13.1	च	9	च	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,13.1.1	समुच्चयद्योतकः,13.1.1	NA	तथा	also	-	-
13.1.1	(सञ्जायते)	16	(0)	(सञ्जायते)	(सम्_जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;सम्_जनीँ;दिवादिः})	समुच्चितम्,10.1	समुच्चितम्,10.1	KP	(उत्पन्न_होता_है)	develops	-	-
13.2.1	(तमसः)	13	(0)	(तमस्{नपुं}{5;एक}/तमस्{नपुं}{6;एक}/तमस{पुं}{1;एक})	(तमस्{नपुं}{5;एक})	अपादानम्,13.1.1	अपादानम्,13.1.1	N5	(तमोगुण_से)	from_the_mode_of_ignorance	-	-
												
