index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga											
26.1	गताः	27	0	गत{पुं}{1;बहु}/गता{स्त्री}{1;बहु}/गता{स्त्री}{2;बहु}/गता{स्त्री}{1;बहु}/गता{स्त्री}{2;बहु}	गम्1{कृत्_प्रत्ययः:क्त;गमॢँ;भ्वादिः}	कर्ता,28.1	कर्ता,28.1	NA	गये_हुए_पुरुष	going	-	-											
27.1	न	29	न	न{अव्य}	न{अव्य}	सम्बन्धः,28.1	सम्बन्धः,28.1	NA	नहीं	never	-	-											
28.1	निवर्तन्ति	30	निवर्तन्ति	नि_वृत्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;वृतुँ;भ्वादिः}	नि_वृत्*1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;नि_वृतुँ;भ्वादिः}	अभिहित_कर्ता,26.1;अकर्मकः.1	अभिहित_कर्ता,26.1;अकर्मकः.1	KP	लौटकर_संसार_में_आते	comes_back	-	-											
29.1	भूयः	28	भूयः	भूयः{अव्य}/भूयस्{नपुं}{1;एक}/भूयस्{नपुं}{2;एक}	भूयः{अव्य}	क्रियाविशेषणम्,28.1	क्रियाविशेषणम्,28.1	NA	फिर	again	-	-											
30.1	तम्	35	तमेव	तद्{पुं}{2;एक}	तद्{पुं}{2;एक}	विशेषणम्,34.1	विशेषणम्,34.1	N2	उस	to_Him	-	-											
31.1	एव	36	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,30.1	सम्बन्धः,30.1	NA	ही	certainly	-	-											
32.1	च	37	चाद्यं	च{अव्य}	च{अव्य}	सम्बन्धः,31.1	सम्बन्धः,31.1#सम्बन्धः,30.1	NA	और	also	-	-											
33.1	आद्यम्	38	0	आद्य{पुं}{2;एक}/आद्य{नपुं}{1;एक}/आद्य{नपुं}{2;एक}	आद्य{पुं}{2;एक}	विशेषणम्,34.1	विशेषणम्,34.1	N2	आदि	original	-	-											
34.1	पुरुषम्	39	पुरुषं	पुरुष{पुं}{2;एक}	पुरुष{पुं}{2;एक}	कर्म,35.1	कर्म,35.1	N2	पुरुष_के	the_Personality_of_Godhead	-	-											
35.1	प्रपद्ये	41	प्रपद्ये	प्र_पद्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;पदँ;दिवादिः}/प्र_पद्1{कर्मणि;लट्;उ;एक;आत्मनेपदी;पदँ;दिवादिः}	प्र_पद्1{कर्तरि;लट्;उ;एक;आत्मनेपदी;प्र_पदँ;दिवादिः}	अभिहित_कर्ता,35.1.1	अभिहित_कर्ता,35.1.1	KP	शरण_हूँ	surrender	-	-											
35.1.1	(अहम्)	40	(0)	(अस्मद्{1;एक})	(अस्मद्{1;एक})	कर्ता,35.1	कर्ता,35.1	N1	(मैं)	I	-	-											
36.1	यतः	31	यतः	यतः{अव्य}/यत{पुं}{1;एक}	यतः{अव्य}	अपादानम्,38.1	अपादानम्,38.1	NA	जिस_परमेश्वर_से	from_whom	-	-											
37.1	प्रवृत्तिः	33	प्रवृत्तिः	प्रवृत्ति{स्त्री}{1;एक}	प्रवृत्ति{स्त्री}{1;एक}	कर्ता,38.1	कर्ता,38.1	N1	संसारवृक्ष_की_प्रवृत्ति	beginning	-	-											
38.1	प्रसृता	34	प्रसृता	प्रसृता{स्त्री}{1;एक}	प्र_सृ1{कृत्_प्रत्ययः:क्त;प्र_सृ;भ्वादिः;स्त्री}{1;एक}	अभिहित_कर्ता,38.1	अभिहित_कर्ता,38.1	N1	विस्तार_को_प्राप्त_हुई	extended	-	-											
39.1	पुराणी	32	पुराणी	पुराणी{स्त्री}{1;एक}	पुराणी{स्त्री}{1;एक}	विशेषणम्,37.1	विशेषणम्,37.1	N1	पुरातन	very_old	-	-											
40.1	(उपलभ्यते)		(उपलभ्यते)	उपलभ्यता{स्त्री}{1;द्वि}/उपलभ्यता{स्त्री}{2;द्वि}/उपलभ्यता{स्त्री}{8;एक}/उपलभ्यता{स्त्री}{8;द्वि}/उप_लभ्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;डुलभँष्;भ्वादिः}	उप_लभ्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;उप_डुलभँष्;भ्वादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP															
