index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	काश्यः	2	काश्यश्च	काशी{स्त्री;1;बहु}/काश्य{पुं;1;एक}	काश्य{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	काशिराज	the_King_of_Kasi_(Varanasi)	-	-
2.1	च	3		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.1	समुच्चय_द्योतकः,1.1	NA	और	and	-	-
3.1	परम-	1	परमेष्वासः	परम	परम	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	श्रेष्ठ_धनुषवाले	the_excellent_archer	<परम-इष्वासः>Bs6	-
3.2	इष्वासः	-	-	इष्वास{पुं;1;एक}	इष्वास{पुं;1;एक}	विशेषणम्,1.1	विशेषणम्,1.1	N1				-
4.1	शिखण्डी	5	शिखण्डी	शिखण्डिन्{पुं;1;एक}	शिखण्डिन्{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	शिखण्डी	Sikhandi	-	-
5.1	च	6	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,4.1	समुच्चय_द्योतकः,4.1	NA	एवं	and	-	-
6.1	महा-	4	महारथः	महा	महा	बहुव्रीहिः,6.2	बहुव्रीहिः,6.2	CP	महारथी	the_great_chariot_warrior	<महत्-रथः>Bs6	-
6.2	रथः	-	-	रथ{पुं;1;एक}	रथ{पुं;1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1				-
7.1	धृष्टद्युम्नः	7	धृष्टद्युम्नो	धृष्टद्युम्न{पुं;1;एक}	धृष्टद्युम्न{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	धृष्टद्युम्न	Dhrstadyumna_(the_son_of_King_Drupada)	-	-
8.1	विराटः	9	विराटश्च	विराट{पुं;1;एक}	विराट{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	राजा_विराट	Virata_(the_prince_who_gave_shelter_to_the_Pandavas_while_they_were_in_disguise)	-	-
9.1	च	8		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,8.1	समुच्चय_द्योतकः,8.1	NA	तथा	and	-	-
10.1	सात्यकिः	12	सात्यकिश्चापराजितः	सात्यकि{पुं;1;एक}	सात्यकि{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	सात्यकि	Satyaki_(the_same_as_Yuyudhana_the_charioteer_of_Lord_Krsna)	-	-
11.1	च	10		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10.1	समुच्चय_द्योतकः,10.1	NA	और	and	-	-
12.1	अ-	11		अ	अ	नञ्-तत्पुरुषः,12.2	नञ्-तत्पुरुषः,12.2	CP	अजेय	invincible	<न-पराजितः>Tn	-
12.2	पराजितः	-	-	पराजित{पुं;1;एक}	पराजित{पुं;1;एक}	विशेषणम्,10.1	विशेषणम्,10.1	N1				-
13.1	द्रुपदः	13	द्रुपदो	द्रुपद{पुं;1;एक}	द्रुपद{पुं;1;एक}	समुच्चितः,18.1	समुच्चितः,18.1	N1	राजा_द्रुपद	Drupada_the_King_of_Pancala	-	-
14.1	द्रौपदेयाः	15	द्रौपदेयाश्च	द्रौपदेय{पुं;1;बहु}	द्रौपदेय{पुं;1;बहु}	समुच्चितः,18.1	समुच्चितः,18.1	N1	द्रौपदी_के_पाँचों_पुत्र	the_sons_of_Draupadi	-	-
15.1	च	14		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,14.1	समुच्चय_द्योतकः,14.1	NA	एवं	and	-	-
16.1	सर्वशः	20	सर्वशः	सर्वशः{अव्य}	सर्वशः{अव्य}	क्रियाविशेषणम्,22.1	क्रियाविशेषणम्,22.1	NA	सभी	all	-	-
17.1	पृथिवी-	19	पृथिवीपते	पृथिवी	पृथिवी	षष्ठी-तत्पुरुषः,17.2	षष्ठी-तत्पुरुषः,17.2	CP	हे_राजन्	O_King	<पृथिवी-पते>T6	-
17.2	पते	-	-	पति{पुं;8;एक}	पति{पुं;8;एक}	सम्बोध्यः,16.1	सम्बोध्यः,16.1	N8				-
18.1	सौभद्रः	18	सौभद्रश्च	सौभद्र{पुं;1;एक}	सौभद्र{पुं;1;एक}	कर्ता,22.1	कर्ता,22.1	N1	सुभद्रापुत्र_अभिमन्यु	the_son_of_Subhadra_(Abhimanyu)	-	-
19.1	च	16		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,18.1	समुच्चय_द्योतकः,18.1	NA	और	also	-	-
20.1	महा-	17	महाबाहुः	महा	महा	बहुव्रीहिः,20.2	बहुव्रीहिः,20.2	CP	बड़ी_भुजावाले	mighty-armed	<महत्-बाहुः>Bs6	-
20.2	बाहुः	-	-	बाहु{पुं;1;एक}	बाहु{पुं;1;एक}	विशेषणम्,18.1	विशेषणम्,18.1	N1				-
21.1	शङ्खान्	23	शङ्खान्दध्मुः	शङ्ख{पुं;2;बहु}	शङ्ख{पुं;2;बहु}	कर्म,22.1	कर्म,22.1	N2	शंख	conchs	-	-
22.1	दध्मुः	24		ध्मा1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;ध्मा;भ्वादिः}	ध्मा1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;ध्मा;भ्वादिः}	अभिहित_कर्ता,18.1	अभिहित_कर्ता,18.1	KP	बजाये	blew	-	-
23.1	पृथक्	21	पृथक्पृथक्	पृथक्{अव्य}	पृथक्{अव्य}	वीप्सा,24.1	वीप्सा,24.1	NA	अलग	each	-	-
24.1	पृथक्	22		पृथक्{अव्य}	पृथक्{अव्य}	विशेषणम्,21.1	विशेषणम्,21.1	NA	अलग	respective	-	-
