index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	अथ	1	अथ	अथ{अव्य}	अथ{अव्य}	सम्बन्धः,7.1;नित्य_सम्बन्धः,8.1	सम्बन्धः,7.1;नित्य_सम्बन्धः,8.1	NA	किंतु_यदि	now_if	-	-
1.1.1	चेत्	2	चेत्त्वमिमं	चेत्{अव्य}	चेत्{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA				
2.1	त्वम्	3		युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,7.1	कर्ता,7.1	N1	तुम	you	-	-
3.1	इमम्	4		इदम्{पुं;2;एक}	इदम्{पुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2	इस	this	-	-
4.1	धर्म्यम्	5	धर्म्यं	धर्म्य{पुं;2;एक}/धर्म्य{नपुं;1;एक}/धर्म्य{नपुं;2;एक}	धर्म्य{पुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2	धर्मयुक्त	righteous	-	-
5.1	सङ्ग्रामम्	6	सङ्ग्रामं	सङ्ग्राम{पुं;2;एक}	सङ्ग्राम{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	युद्ध_को	war	-	-
6.1	न	7	न	न{अव्य}	न{अव्य}	प्रतिषेधः,7.1	प्रतिषेधः,7.1	NA	नहीं	refuse	-	-
7.1	करिष्यसि	8	करिष्यसि	कृ2{कर्तरि;लृट्;म;एक;परस्मैपदी;कृञ्;स्वादिः}/कृ3{कर्तरि;लृट्;म;एक;परस्मैपदी;डुकृञ्;तनादिः}/कॄ1{कर्तरि;लृट्;म;एक;परस्मैपदी;कॄ;तुदादिः}/कॄ2{कर्तरि;लृट्;म;एक;परस्मैपदी;कॄञ्;क्र्यादिः}	कृ3{कर्तरि;लृट्;म;एक;परस्मैपदी;डुकृञ्;तनादिः}	अभिहित_कर्ता,2.1	अभिहित_कर्ता,2.1	KP	करोगे	to_fight	-	-
8.1	ततः	9	ततः	ततः{अव्य}	ततः{अव्य}	सम्बन्धः,14.1	सम्बन्धः,14.1	NA	तो	then	-	-
9.1	स्व-	11	स्वधर्मं	स्व	स्व	षष्ठी-तत्पुरुषः,9.2	षष्ठी-तत्पुरुषः,9.2	CP	स्वधर्म	your_duty	<स्व-धर्मम्>T6	-
9.2	धर्मम्	-	-	धर्म{पुं;2;एक}	धर्म{पुं;2;एक}	समुच्चितः,10.1	समुच्चितः,10.1	N2				-
10.1	कीर्तिम्	10	कीर्तिं	कीर्ति{स्त्री;2;एक}	कीर्ति{स्त्री;2;एक}	कर्म,12.1	कर्म,12.1	N2	कीर्ति_को	your_reputation	-	-
11.1	च	12	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,10.1	समुच्चय_द्योतकः,10.1	NA	और	and	-	-
12.1	हित्वा	13	हित्वा	हा2{कृत्_प्रत्ययः:क्त्वा;ओँहाक्;जुहोत्यादिः}/धा1{कृत्_प्रत्ययः:क्त्वा;डुधाञ्;जुहोत्यादिः}	हा2{कृत्_प्रत्ययः:क्त्वा;ओँहाङ्;जुहोत्यादिः}	पूर्वकालः,14.1	पूर्वकालः,14.1	NA	खोकर	losing	-	-
13.1	पापम्	14	पापमवाप्स्यसि	पाप{पुं;2;एक}/पाप{नपुं;1;एक}/पाप{नपुं;2;एक}	पाप{नपुं;2;एक}	कर्म,14.1	कर्म,14.1	N2	पाप_को	sin	-	-
14.1	अवाप्स्यसि	15		अव_आप्1{कर्तरि;लृट्;म;एक;परस्मैपदी;आपॢँ;स्वादिः}	अव_आप्1{कर्तरि;लृट्;म;एक;परस्मैपदी;अव_आपॢँ;स्वादिः}	अभिहित_कर्ता,14.1.1	अभिहित_कर्ता,14.1.1	KP	प्राप्त_होगे	incur	-	-
14.1.1	(त्वम्)			युष्मद्{सर्वनाम;1;एक}	युष्मद्{सर्वनाम;1;एक}	कर्ता,14.1	कर्ता,14.1	N1				
