index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	भूयः	2	भूय	भूयः{अव्य}/भूयस्{नपुं;1;एक}/भूयस्{नपुं}{2;एक}	भूयः{अव्य}	क्रियाविशेषणम्,4.1	क्रियाविशेषणम्,4.1	NA	फिर	again	-	-
2.1	एव	3	एव	एव{अव्य}	एव{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	भी	certainly	-	-
3.1	महान्-	1	महाबाहो	महाबाहु{पुं}{8;एक}/महाबाहु{नपुं;8;एक}	महाबाहु{पुं}{8;एक}	बहुव्रीहिः,3.2	बहुव्रीहिः,3.2	CP	हे_महाबाहो	O_mighty-armed	<महत्-बाहो>Bs6	-
3.2	बाहो	-	-			सम्बोध्यः,4.1	सम्बोध्यः,4.1	N8				-
4.1	शृणु	7	शृणु	शृणु	श्रु1{कर्तरि;लोट्;म;एक;परस्मैपदी;श्रु;भ्वादिः}	अभिहित_कर्ता,5.1;सकर्मकः.1	अभिहित_कर्ता,5.1;सकर्मकः.1	KP	सुन	just_hear	-	-
5.1	मे	4	मे	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,7.1	षष्ठीसम्बन्धः,7.1	N6	मेरे	my	-	-
6.1	परमम्	5	परमं	परमम्{अव्य}/परम{पुं}{2;एक}/परम{नपुं}{1;एक}/परम{नपुं;2;एक}	परम{नपुं;2;एक}	विशेषणम्,7.1	विशेषणम्,7.1	N2	परम_(रहस्य_और_प्रभावयुक्त)	supreme	-	-
7.1	वचः	6	वचः	वच{पुं}{1;एक}/वचस्{नपुं;1;एक}/वचस्{नपुं;2;एक}	वचस्{नपुं;2;एक}	कर्म,4.1	कर्म,4.1	N2	वचन_को	information	-	-
8.1	यत्	8	यत्तेऽहं	यत्{अव्य}/यद्{नपुं}{1;एक}/यद्{नपुं;2;एक}/यत्{अव्य}	यद्{नपुं;2;एक}	कर्म,12.1	कर्म,12.1	N2	जिसे	that_which	-	-
9.1	ते	11	0	तद्{पुं;1;बहु}/तद्{स्त्री;1;द्वि}/तद्{स्त्री;2;द्वि}/तद्{नपुं;1;द्वि}/तद्{नपुं;2;द्वि}/युष्मद्{4;एक}/युष्मद्{6;एक}	युष्मद्{4;एक}	सम्प्रदानम्,12.1	सम्प्रदानम्,12.1	N4	तुझको	to_you	-	-
10.1	अहम्	9	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मैं	I	-	-
11.1	प्रीयमाणाय	10	प्रीयमाणाय	प्रीयमाण{पुं}{4;एक}/प्रीयमाण{नपुं;4;एक}	प्रीयमाण{पुं;4;एक}	विशेषणम्,9.1	विशेषणम्,9.1	N4	अतिशय_प्रेम_रखनेवाले_के_लिये	thinking_you_dear_to_Me	-	-
12.1	वक्ष्यामि	13	वक्ष्यामि	वच्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;वचँ;अदादिः}/वह्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;वहँ;भ्वादिः}/ब्रू1{कर्तरि;लृट्;उ;एक;परस्मैपदी;ब्रूञ्;अदादिः}	वच्1{कर्तरि;लृट्;उ;एक;परस्मैपदी;वचँ;अदादिः}	अभिहित_कर्ता,10.1;सकर्मकः.1	अभिहित_कर्ता,10.1;सकर्मकः.1	KP	कहूँगा	say	-	-
13.1	हित-	12	हितकाम्यया	हित	हित	षष्ठी-तत्पुरुषः,13.2	षष्ठी-तत्पुरुषः,13.2	CP	हित_की_इच्छा_से	for_your_benefit	<हित-काम्यया>T6	-
13.2	काम्यया	-	-	काम्या{स्त्री}{3;एक}	काम्या{स्त्री}{3;एक}	हेतुः,12.1	हेतुः,12.1	N3				-
