index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	तत्र	2	तत्र	तत्र{अव्य}	तत्र{अव्य}	अधिकरणम्,7.1	अधिकरणम्,7.1	NA	उनमें_(तीनों_गुणों_में)	thereafter	-	-
2.1	सत्त्वम्	3	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	कर्ता,7.1	कर्ता,7.1	N1	सत्त्वगुण	mode_of_goodness	-	-
3.1	निर्-	4	निर्मलत्वात्प्रकाशकमनामयम्	निर्मलत्व{नपुं}{5;एक}	निर्	अव्ययीभावः,3.2	अव्ययीभावः,3.2	CP	निर्मल_होने_के_कारण	being_purest_in_the_material_world	<निर्-मलत्वात्>Bvp	-
3.2	मलत्वात्	-	-		मलत्व{नपुं}{5;एक}	हेतुः,7.1	हेतुः,7.1	N5				-
4.1	प्रकाशकम्	5	प्रकाशकं	प्रकाशक{पुं}{2;एक}/प्रकाशक{नपुं}{1;एक}/प्रकाशक{नपुं}{2;एक}	प्रकाशक{नपुं}{1;एक}	सुप्समुच्चितम्,5.1	सुप्समुच्चितम्,5.1	N1	प्रकाश_करनेवाला	illuminating	-	-
5.1	अन्-	6	अनामयं	अनामय{पुं}{2;एक}/अनामय{नपुं}{1;एक}/अनामय{नपुं}{2;एक}	अनामय{नपुं}{1;एक}	नञ्-तत्पुरुषः,5.2	नञ्-तत्पुरुषः,5.2	CP	विकाररहित	without_any_sinful_reaction	<न-आमयम्>Bsmn	-
5.2	आमयम्	-	-			कर्तृसमानाधिकरणम्,5.2.1	कर्तृसमानाधिकरणम्,5.2.1	N1				-
5.1.1	(च)	7	(0)	(च{अव्य})	(च{अव्य})	समुच्चयद्योतकः,5.1	समुच्चयद्योतकः,5.1	NA	(और)	also	-	-
5.2.1	(अस्ति)	8	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहितकर्ता,2.1;सकर्मकः.1	अभिहितकर्ता,2.1;सकर्मकः.1	KP	(है)	is	-	-
6.1	सुख-	10	सुखसङ्गेन	सुख	सुख	तृतीया-तत्पुरुषः,6.2	तृतीया_तत्पुरुषः,6.2	CP	सुख_के_सम्बन्ध_से	with_association_of_happiness	<सुख-सङ्गेन>T3	-
6.2	सङ्गेन	-	-	सङ्ग{पुं}{3;एक}	सङ्ग{पुं}{3;एक}	करणम्,9.1	करणम्,9.1	N3				-
7.1	बध्नाति	13	बध्नाति	बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;बन्धँ;क्र्यादिः}	बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;बन्धँ;क्र्यादिः}	अभिहितकर्ता,10.1.1;सकर्मकः.1	अभिहितकर्ता,10.1.1;सकर्मकः.1	KP	बाँधता_है	conditions	-	-
8.1	ज्ञान-	12	ज्ञानसङ्गेन	ज्ञान	ज्ञान	तृतीया-तत्पुरुषः,8.2	तृतीया-तत्पुरुषः,8.2	CP	ज्ञान_के_सम्बन्ध_से	with_association_of_knowledge	<ज्ञान-सङ्गेन>T7	-
8.2	सङ्गेन	-	-	सङ्ग{पुं}{3;एक}	सङ्ग{पुं}{3;एक}	सुप्_समुच्चितम्,6.1	सुप्_समुच्चितम्,6.1	N3				-
9.1	च	11	चानघ	च{अव्य}	च{अव्य}	समुच्चयद्योतकः,6.1	समुच्चयद्योतकः,6.1	NA	और	also	-	-
10.1	अन्-	1	0	अनघ{पुं}{8;एक}/अनघ{नपुं}{8;एक}	अनघ{पुं}{8;एक}	नञ्-तत्पुरुषः,10.2	नञ्-तत्पुरुषः,10.2	CP	हे_निष्पाप	O_sinless_one	<न-अघ>Bsmn	-
10.2	अघ	-	-			सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8				-
10.1.1	(सत्त्वम्)	9	(0)	(सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक})	(सत्त्व{नपुं}{1;एक})	कर्ता,7.1	कर्ता,7.1	N1	(सत्त्व)	mode_of_goodness	-	-
