index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color-code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	कर्शयन्तः	7	कर्शयन्तः	कर्शयन्तः	कृष्1_णिच्{कृत्_प्रत्ययः:शतृ;कृषँ_णिच्;भ्वादिः;पुं}{1;बहु}	वर्तमानसमानकालः,13.1	वर्तमानसमानकालः,13.1	N1	कृश_करनेवाले_है	tormenting	-	-
2.1	शरीर-	1	शरीरस्थं	शरीर	शरीर	उपपद-तत्पुरुषः,2.2	उपपद-तत्पुरुषः,2.2	CP	शरीररूप_से_स्थित	situated_within_the_body	<शरीर-स्थं>U	-
2.2	स्थम्	-	-	स्थ{पुं}{2;एक}/स्थ{नपुं}{1;एक}/स्थ{नपुं}{2;एक}	स्थ{पुं}{2;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N2				-
3.1	भूत-	2	भूत-ग्राममचेतसः	भूत	भूत	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	भूत-समुदाय_को	combination_of_material_elements	<भूत-ग्रामम्>T6	-
3.2	ग्रामम्	-	-	ग्राम{पुं}{2;एक}	ग्राम{पुं}{2;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N2				-
4.1	अ-	9	0	अ	अ	बहुव्रीहिः ,4.2	बहुव्रीहिः ,4.2	CP	अज्ञानियों_को	by_such_a_misled_mentality	<न-चेतसः>Bsmn	-
4.2	चेतसः	-	-	चेतस्{नपुं}{5;एक}/चेतस्{नपुं}{6;एक}	चेतस्{पुं}{1;बहु}	कर्ता,13.1	कर्ता,13.1;नित्यसम्बन्धः,9.1#कर्ता,13.1	N1				-
5.1	माम्	5	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,1.1	कर्म,1.1	N2	मुझ_परमात्मा_को	to_Me	-	-
6.1	च	3	चैवान्तःशरीरस्थं	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,5.1	समुच्चय_द्योतकः,5.1	NA	और	also	-	-
7.1	एव	6	0	एव{अव्य}	एव{अव्य}	सम्बन्धः,5.1	सम्बन्धः,5.1	NA	भी	certainly	-	-
8.1	अन्तः-	4	0	अन्तः	अन्तः	षष्ठी-तत्पुरुषः,8.2	षष्ठी-तत्पुरुषः,8.2	CP	अन्तःकरण_में_स्थित	situated_within_the_body	<अन्तः-<शरीर-स्थं>U>K1	-
8.2	शरीर-	-	-	शरीर	शरीर	उपपद-तत्पुरुषः,8.3	उपपद-तत्पुरुषः,8.3	CP				-
8.3	स्थम्	-	-	स्थ{पुं}{2;एक}/स्थ{नपुं}{1;एक}/स्थ{नपुं}{2;एक}	स्थ{पुं}{2;एक}	समुच्चितः,5.1	समुच्चितः,5.1	N2				-
9.1	तान्	8	तान्विद्ध्यासुरनिश्चयान्	तद्{पुं}{2;बहु}	तद्{पुं}{2;बहु}	कर्म,10.1;नित्यसम्बन्धः,4.2	कर्म,10.1;नित्यसम्बन्धः,4.2#कर्म,10.1	N2	उन	them	-	-
10.1	विद्धि	12	0	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,12.1;सकर्मकः.1	अभिहित_कर्ता,12.1;सकर्मकः.1	KP	जान	understand	-	-
11.1	आसुर-	10	0	आसुर	आसुर	बहुव्रीहिः,11.2	बहुव्रीहिः,11.2	CP	आसुर-स्वभाववाले	certainly_demons	<असुर-निश्चयान्>Bs6	-
11.2	निश्चयान्	-	-	निश्चय{पुं}{2;बहु}	निश्चय{पुं}{2;बहु}	कर्मसमानाधिकरणम्,10.1	कर्मसमानाधिकरणम्,10.1	N2				-
12.1	(त्वम्)	11	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,10.1	कर्ता,10.1	N1	(तू)	you	-	-
13.1	(सन्ति)		(सन्ति)	अस्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अस्;अदादिः}	अस्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अस्;अदादिः}	अभिहित_कर्ता,4.2;अकर्मकः.1	अभिहित_कर्ता,4.2;अकर्मकः.1	KP				
												
