index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	दृष्ट्वा	6	दृष्ट्वेमं	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	दृश्1{कृत्_प्रत्ययः:क्त्वा;दृशिँर्;भ्वादिः}	पूर्वकालः,7.1	पूर्वकालः,7.1	NA	देखकर	as_I_see	-	-
2.1	इमम्	4		इदम्{पुं;2;एक}	इदम्{पुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2	इस	all_these	-	-
3.1	स्व-	5	स्वजनं	स्व	स्व	षष्ठी-तत्पुरुषः,3.2	षष्ठी-तत्पुरुषः,3.2	CP	स्वजन_समुदाय_को	kinsmen	<स्व-जनं>T6	-
3.2	जनम्			जन{पुं;2;एक}	जन{पुं;2;एक}	कर्म,1.1	कर्म,1.1	N2				-
4.1	कृष्ण	1	कृष्ण	कृष्ण{पुं;8;एक}/कृष्ण{नपुं;8;एक}	कृष्ण{पुं;8;एक}	सम्बोध्यः,7.1	सम्बोध्यः,7.1	N8	हे_कृष्ण	O_Krsna	-	-
5.1	युयुत्सुम्	3	युयुत्सुं	युयुत्सु{पुं;2;एक}	युयुत्सु{पुं;2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2	युद्ध_के_अभिलाषी	all_in_fighting_spirit	-	-
6.1	समुपस्थितम्	2	समुपस्थितम्	समुपस्थित{पुं;2;एक}/समुपस्थित{नपुं;1;एक}/समुपस्थित{नपुं;2;एक}	सम्_उप_स्था1{कृत्_प्रत्ययः:क्त;सम्_उप_ष्ठा;भ्वादिः;पुं}{2;एक}	विशेषणम्,3.1	विशेषणम्,3.1	N2	डटे_हुए	arrayed_for_battle	-	-
7.1	सीदन्ति	9	सीदन्ति	सीदत्{नपुं;1;बहु}/सीदत्{नपुं;2;बहु}/सीदत्{नपुं;8;बहु}/सीदन्ती{स्त्री;8;एक}/सद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;भ्वादिः}/सद्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;तुदादिः}	सद्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;षदॢँ;भ्वादिः}	अभिहित_कर्ता,9.1;सकर्मकः.1;समुच्चितः,19.1	अभिहित_कर्ता,9.1;सकर्मकः.1;समुच्चितः,19.1	KP	शिथिल_हुए_जा_रहे_हैं	give_way	-	-
8.1	मम	7	मम	अस्मद्{6;एक}/मा1{कर्तरि;लिट्;म;बहु;परस्मैपदी;मा;अदादिः}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	मेरे	my	-	-
9.1	गात्राणि	8	गात्राणि	गात्र{नपुं;1;बहु}/गात्र{नपुं;2;बहु}/गात्र{नपुं;8;बहु}	गात्र{नपुं;1;बहु}	कर्ता,7.1	कर्ता,7.1	N1	अंग	limbs	-	-
10.1	मुखम्	10	मुखं	मुख{पुं;2;एक}/मुख{नपुं;1;एक}/मुख{नपुं;2;एक}	मुख{नपुं;1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मुख	mouth	-	-
11.1	च	11	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,19.1	समुच्चय_द्योतकः,19.1	NA	और	and	-	-
12.1	परिशुष्यति	12	परिशुष्यति	परि_शुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;शुषँ;दिवादिः}	परि_शुष्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;परि_शुषँ;दिवादिः}	समुच्चितः,19.1	समुच्चितः,19.1	KP	सूखा_जा_रहा_है	getting_parched	-	-
13.1	वेपथुः	15	वेपथुश्च	वेपथु{पुं;1;एक}	वेपथु{पुं;1;एक}	समुच्चितः,17.1	समुच्चितः,17.1	N1	कम्प	a_shiver	-	-
14.1	च	16		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,17.1	समुच्चय_द्योतकः,17.1	NA	तथा	nay	-	-
15.1	शरीरे	14	शरीरे	शरीर{नपुं;1;द्वि}/शरीर{नपुं;2;द्वि}/शरीर{नपुं;7;एक}	शरीर{नपुं;7;एक}	अधिकरणम्,19.1	अधिकरणम्,19.1	N7	शरीर_में	through_the_body	-	-
16.1	मे	13	मे	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,15.1	षष्ठीसम्बन्धः,15.1	N6	मेरे	my	-	-
17.1	रोम-	17	रोमहर्षश्च	रोमन्	रोमन्	षष्ठी-तत्पुरुषः,17.2	षष्ठी-तत्पुरुषः,17.2	CP	रोमांच	hair_stands_on_end	<रोम-हर्षः>T6	-
17.2	हर्षः			हर्ष{पुं;1;एक}	हर्ष{पुं;1;एक}	कर्ता,19.1	कर्ता,19.1	N1				-
18.1	च	18		च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,17.1	समुच्चय_द्योतकः,17.1	NA	एवं	and	-	-
19.1	जायते	19	जायते	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	अभिहित_कर्ता,17.1	अभिहित_कर्ता,17.1	KP	हो_रहा_है	is_taking_place	-	-
