index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	यदा	1	यदा	यदा{अव्य}	यदा{अव्य}	कालाधिकरणम्,6.1;नित्यसम्बन्धः,8.1	कालाधिकरणम्,6.1;नित्यसम्बन्धः,8.1	NA	जब	when	-	-
2.1	सत्त्वे	3	सत्त्वे	सत्त्व{पुं}{7;एक}/सत्त्व{नपुं}{1;द्वि}/सत्त्व{नपुं}{2;द्वि}/सत्त्व{नपुं}{7;एक}/सत्त्व{नपुं}{1;द्वि}/सत्त्व{नपुं}{2;द्वि}/सत्त्व{नपुं}{7;एक}	सत्त्व{नपुं}{7;एक}	अधिकरणम्,3.1	अधिकरणम्,3.1	N7	सत्त्वगुण_की	mode_of_goodness	-	-
3.1	प्रवृद्धे	4	प्रवृद्धे	प्रवृद्ध{पुं}{7;एक}/प्रवृद्धि{स्त्री}{8;एक}	प्र_वृध्1{कृत्_प्रत्ययः:क्त;प्र_वृधुँ;भ्वादिः;पुं}{7;एक}	भावलक्षणसप्तमी_पूर्वकालः,7.1	भावलक्षणसप्तमी_पूर्वकालः,7.1	N7	वृद्धि_में	in_development	-	-
4.1	तु	8	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	तो	but	-	-
5.1	प्रलयम्	5	प्रलयं	प्रलय{पुं}{2;एक}	प्रलय{पुं}{2;एक}	कर्म,6.1	कर्म,6.1	N2	मृत्यु_को	dissolution	-	-
6.1	याति	6	याति	यात्{पुं}{7;एक}/यात्{नपुं}{7;एक}/या1{कर्तरि;लट्;प्र;एक;परस्मैपदी;या;अदादिः}	या1{कर्तरि;लट्;प्र;एक;परस्मैपदी;या;अदादिः}	अभिहितकर्ता,7.1;सकर्मकः.1	अभिहितकर्ता,7.1;सकर्मकः.1	KP	प्राप्त_होता_है	goes	-	-
7.1	देह-	2	देहभृत्	देहभृत्{पुं}{1;एक}/देहभृत्{पुं}{8;एक}	देह	उपपद_तत्पुरुषः,7.2	उपपद_तत्पुरुषः,7.2	CP	यह_मनुष्य	embodied	<देह-भृत्>U	-
7.2	भृत्	-	-		भृत्{पुं}{1;एक}	कर्ता,6.1	कर्ता,6.1	N1				-
8.1	तदा	7	तदोत्तमविदां	तदा{अव्य}	तदा{अव्य}	कालाधिकरणम्,12.1	कालाधिकरणम्,12.1	NA	तब	at_that_time	-	-
9.1	उत्तम-	10	0	उत्तम	उत्तम	उपपद_तत्पुरुषः,9.2	उपपद_तत्पुरुषः,9.2	CP	उत्तम_कर्म_करनेवालों_के	of_the_great_sages	<उत्तम-विदां>U	-
9.2	विदाम्	-	-	विद्{पुं}{6;बहु}/विद्{स्त्री}{6;बहु}/विद्{नपुं}{6;बहु}/विदा{स्त्री}{2;एक}	विद्{पुं}{6;बहु}	विशेषणम्,10.1	विशेषणम्,10.1	N6				-
10.1	लोकान्	12	लोकानमलान्प्रतिपद्यते	लोक{पुं}{2;बहु}	लोक{पुं}{2;बहु}	कर्म,12.1	कर्म,12.1	N2	लोकों_को	the_planets	-	-
11.1	अ-	11	0	अमल{पुं}{2;बहु}	अमल{पुं}{2;बहु}	नञ्_तत्पुरुषः,11.2	नञ्_तत्पुरुषः,11.2	CP	निर्मल_दिव्य_स्वर्गादि	pure	<न-मलान्>Tn	-
11.2	मलान्	-	-			विशेषणम्,10.1	विशेषणम्,10.1	N2				-
12.1	प्रतिपद्यते	13	0	प्रति_पद्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;पदँ;दिवादिः}/प्रति_पद्1{कर्मणि;लट्;प्र;एक;आत्मनेपदी;पदँ;दिवादिः}	प्रति_पद्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;प्रति_पदँ;दिवादिः}	अभिहितकर्ता,7.1;सकर्मकः.1	अभिहितकर्ता,7.1;सकर्मकः.1	KP	प्राप्त_होता_है	attains	-	-
12.1.1	(देह-	9	(0)	(देहभृत्{पुं}{1;एक}/देहभृत्{पुं}{8;एक})	(देह	उपपद_तत्पुरुषः,12.1.2	उपपद_तत्पुरुषः,12.1.2	CP	(यह_मनुष्य)	embodied	<देह-भृत्>U	-
12.1.2	भृत्)	-	-		भृत्{पुं}{1;एक})	कर्ता,12.1	कर्ता,12.1	N1				-
