index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	पुरोधसाम्	5	पुरोधसां	पुरोधस्{पुं}{6;बहु}	पुरोधस्{पुं}{6;बहु}	निर्धारणम्,3.1	निर्धारणम्,3.1	N6	पुरोहितों_में	of_all_priests	-	-
2.1	च	11	च	च{अव्य}	च{अव्य}	सम्बन्धः,6.1	सम्बन्धः,6.1	NA	और	also	-	-
3.1	मुख्यम्	6	मुख्यं	मुख्य{पुं}{2;एक}/मुख्य{नपुं}{1;एक}/मुख्य{नपुं}{2;एक}	मुख्य{पुं}{2;एक}	विशेषणम्,7.2	विशेषणम्,7.2	N2	मुखिया	chief	-	-
4.1	माम्	4	मां	अस्मद्{2;एक}	अस्मद्{2;एक}	कर्म,5.1	कर्म,5.1	N2	मुझको	me	-	-
5.1	विद्धि	3	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहित_कर्ता,7.1.1	अभिहित_कर्ता,7.1.1	KP	जान	understand	-	-
6.1	पार्थ	2	पार्थ	पार्थ{पुं}{8;एक}	पार्थ{पुं}{8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	हे_पार्थ	O_son_of_Prtha	-	-
7.1	बृहस्-	7	बृहस्पतिम्	बृहस्	बृहस्	षष्ठी-तत्पुरुषः,7.2	षष्ठी-तत्पुरुषः,7.2	CP	बृहस्पति	Brhaspati	<बृहत्-पतिम्>T6	-
7.2	पतिम्	-	-	पति{पुं}{2;एक}	पति{पुं}{2;एक}	कर्मसमानाधिकरणम्,5.1	कर्मसमानाधिकरणम्,5.1	N2				-
7.1.1	(त्वम्)	8	(-)	युष्मद्{1;एक}	युष्मद्{1;एक}	कर्ता,5.1	कर्ता,5.1	N1	मैं	-	-	-
8.1	सेनानीनाम्	9	सेनानीनामहं	सेनानीनाम्	सेनानिन्{पुं}{6;बहु}	निर्धारणम्,10.1	निर्धारणम्,10.1	N6	सेनापतियों_में	of_all_commanders	-	-
9.1	अहम्	8	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	मैं	I	-	-
10.1	स्कन्दः	10	स्कन्दः	स्कन्द{पुं}{1;एक}	स्कन्द{पुं}{1;एक}	समुच्चितः,13.1	समुच्चितः,13.1	N1	स्कन्द	Kartikeya	-	-
11.1	सरसाम्	11	सरसामस्मि	सरस्{नपुं}{6;बहु}/सरसा{स्त्री}{2;एक}	सरस्{नपुं}{6;बहु}	निर्धारणम्,13.1	निर्धारणम्,13.1	N6	जलाशयों_में	of_all_reservoirs_of_water	-	-
12.1	अस्मि	13	0	अस्मि{अव्य}/अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अस्2{कर्तरि;लट्;उ;एक;परस्मैपदी;असँ;अदादिः}	अभिहित_कर्ता,9.1	अभिहित_कर्ता,9.1	KP	हूँ	am	-	-
13.1	सागरः	12	सागरः	सागर{पुं}{1;एक}	सागर{पुं}{1;एक}	विधेय_विशेषणम्,9.1	विधेय_विशेषणम्,9.1	N1	समुद्र	the_ocean	-	-
13.1.1	(च)	11	(च)	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,13.1	समुच्चय_द्योतकः,13.1	NA	और	also	-	-
