index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सम-	3	समदुःखसुखः	सम	सम	द्वन्दः,1.2	द्वन्दः,1.2	CP	दुःख-सुख_को_समान_समझनेवाला	equal_in_distress_and_happiness	<सम-<दुःख-सुखः>Di>Bs6	-
1.2	दुःख-	-	-	दुःख	दुःख	बहुव्रीहिः,1.3	बहुव्रीहिः,1.3	CP				-
1.3	सुखः	-	-	सुख{पुं}{1;एक}	सुख{पुं}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1				-
2.1	स्व-	2	स्वस्थः	स्वस्थ{पुं}{1;एक}	स्वस्थ{पुं}{1;एक}	उपपद_तत्पुरुषः,2.2	उपपद_तत्पुरुषः,2.2	CP	निरन्तर_आत्मभाव_में_स्थित	being_situated_himself	<स्व-स्थः>U	-
2.2	स्थः	-	-			सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1				-
3.1	सम-	4	समलोष्टाश्मकाञ्चनः	सम	सम	द्वन्दः,3.2	द्वन्दः,3.2	CP	मिट्टी_पत्थर_और_स्वर्ण_में_समान_भाववाला	equal_in_a_lump_of_earth,_stone_and_gold	<सम-<लोष्ट-अश्म-काञ्चनः>Di>Bs6	-
3.2	लोष्ट-	-	-	लोष्ट	लोष्ट	बहुव्रीहिः,3.3	बहुव्रीहिः,3.3	CP				-
3.3	अश्म-	-	-	अश्मन्	अश्मन्	,3.4	,3.4	CP				-
3.4	काञ्चनः	-	-	काञ्चन{पुं}{1;एक}	काञ्चन{पुं}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1				-
4.1	तुल्य-	6	तुल्यप्रियाप्रियो	तुल्य	तुल्य	नञ्_तत्पुरुषः,4.2	नञ्_तत्पुरुषः,4.2	CP	प्रिय_तथा_अप्रिय_को_एक-सा_माननेवाला	equally_disposed_in_dear_and_undesirable	<तुल्य-<प्रिय-<न-प्रियः>Tn>Ds>Bs6	-
4.2	प्रिय-	-	-	प्रिय	प्रिय	द्वन्दः,4.3	द्वन्दः,4.3	CP				-
4.3	अ-	-	-	अप्रिय{पुं}{1;एक}	अप्रिय{पुं}{1;एक}	बहुव्रीहिः,4.4	बहुव्रीहिः,4.4	CP				-
4.4	प्रियः	-	-			सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1				-
5.1	धीरः	5	धीरस्तुल्यनिन्दात्मसंस्तुतिः	धीर{पुं}{1;एक}	धीर{पुं}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1	ज्ञानी	steady	-	-
6.1	तुल्य-	7	0	तुल्य	तुल्य	द्वन्दः,6.2	द्वन्दः,6.2	CP	अपनी_निन्दा_स्तुति_में_भी_समान_भाववाला	equally_disposed_in_defamation_and_in_praise_of_himself	<तुल्य-<निन्दा-आत्म-संस्तुतिः>Ds>Bs6	-
6.2	निन्दा-	-	-	निन्दा	निन्दा	बहुव्रीहिः,6.3	बहुव्रीहिः,6.3	CP				-
6.3	आत्म-	-	-	आत्मन्	आत्मन्	,6.4	,6.4	CP				-
6.4	संस्तुतिः	-	-	संस्तुति{स्त्री}{1;एक}	संस्तुति{स्त्री}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1				-
7.1	मान-	9	मानापमानयोस्तुल्यस्तुल्यो	मान	मान	द्वन्दः,7.2	द्वन्दः,7.2	CP	जो_मान_और_अपमान_में	in_honor_and_dishonor	<मान-अपमानयोः>Di	-
7.2	अपमानयोः	-	-	अपमान{पुं}{6;द्वि}/अपमान{पुं}{7;द्वि}/अपमान{नपुं}{6;द्वि}/अपमान{नपुं}{7;द्वि}	अपमान{पुं}{7;द्वि}	अधिकरणम्,8.1	अधिकरणम्,8.1	N7				-
8.1	तुल्यः	10	0	तुल्य{पुं}{1;एक}	तुल्य{पुं}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1	सम	equal	-	-
9.1	तुल्यः	12	0	तुल्य{पुं}{1;एक}	तुल्य{पुं}{1;एक}	सुप्समुच्चितम्,11.1	सुप्समुच्चितम्,11.1	N1	सम	equal	-	-
10.1	मित्र-	11	मित्रारिपक्षयोः	मित्र	मित्र	-,10.2	-,10.2	CP	मित्र_और_वैरी_के_पक्ष_में	in_parties_of_friend_and_enemy	<<मित्र-अरि>Di-पक्षयोः>T6	-
10.2	अरि-	-	-	अरिन्	अरि	षष्ठी_तत्पुरुषः,10.3	षष्ठी_तत्पुरुषः,10.3	CP				-
10.3	पक्षयोः	-	-	पक्ष{पुं}{6;द्वि}/पक्ष{पुं}{7;द्वि}/पक्ष{नपुं}{6;द्वि}/पक्ष{नपुं}{7;द्वि}	पक्ष{पुं}{7;द्वि}	अधिकरणम्,9.1	अधिकरणम्,9.1	N7				-
11.1	सर्व-	13	सर्वारम्भपरित्यागी	सर्वारम्भ	सर्व	-,11.2	-,11.2	CP	सम्पूर्ण_आरम्भों_में_कर्तापन_के_अभिमान_से_रहित	renouncer_of_all_endeavors	<<सर्व-आरम्भ>K1-परित्यागी>T6	-
