index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	रजः	4	रजो	रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक}	रजस्{नपुं}{2;एक}	कर्म,3.1	कर्म,3.1	N2	रजोगुण_को	the_mode_of_passion	-	-
2.1	राग-	3	रागात्मकं	रागात्मक{पुं}{2;एक}/रागात्मक{नपुं}{1;एक}/रागात्मक{नपुं}{2;एक}	रागात्मक{नपुं}{2;एक}	बहुव्रीहिः,2.2	बहुव्रीहिः,2.2	CP	रागरूप	born_of_desire_or_lust	<राग-आत्मकं>Bs6	-
2.2	आत्मकम्	-	-			विशेषणम्,1.1	विशेषणम्,1.1	N2				-
3.1	विद्धि	6	विद्धि	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	विद्1{कर्तरि;लोट्;म;एक;परस्मैपदी;विदँ;अदादिः}	अभिहितकर्ता,4.1.1;सकर्मकः.1	अभिहितकर्ता,4.1.1;सकर्मकः.1	KP	जान	know	-	-
4.1	तृष्णा-	5	तृष्णासङ्गसमुद्भवम्	तृष्णा	तृष्णा	इतरेतर-द्वन्द्वः,4.2	इतरेतर-द्वन्द्वः,4.2	CP	कामना_और_आसक्ति_से_उत्पन्न	produced_of_lust_and_association	<<तृष्णा-सङ्ग>Di-समुद्भवम्>T3	-
4.2	सङ्ग-	-	-	सङ्ग	सङ्ग	षष्ठी-तत्पुरुषः,4.3	षष्ठी-तत्पुरुषः,4.3	CP				-
4.3	समुद्भवम्	-	-	समुद्भव{पुं}{2;एक}	समुद्भव{पुं}{2;एक}	कर्मसमानाधिकरणम्,3.1	कर्मसमानाधिकरणम्,3.1	N2				-
4.1.1	(त्वम्)	2	(0)	(युष्मद्{1;एक})	(युष्मद्{1;एक})	कर्ता,3.1	कर्ता,3.1	N1	(तुम)	you	-	-
5.1	तत्	7	तन्निबध्नाति	तद्{नपुं}{1;एक}/तद्{नपुं}{2;एक}	तद्{नपुं}{1;एक}	विशेषणम्,9.1.1	विशेषणम्,9.1.1	N1	वह	that	-	-
6.1	निबध्नाति	11	0	नि_बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;बन्धँ;क्र्यादिः}	नि_बन्ध्1{कर्तरि;लट्;प्र;एक;परस्मैपदी;नि_बन्धँ;क्र्यादिः}	अभिहितकर्ता,9.1.1;सकर्मकः.1	अभिहितकर्ता,9.1.1;सकर्मकः.1	KP	बाँधता_है	binds	-	-
7.1	कौन्तेय	1	कौन्तेय	कौन्तेय{पुं}{8;एक}	कौन्तेय{पुं}{8;एक}	सम्बोध्यः,3.1	सम्बोध्यः,3.1	N8	हे_अर्जुन	O_son_of_Kunti	-	-
8.1	कर्म-	10	कर्मसङ्गेन	कर्मन्	कर्मन्	सप्तमी_तत्पुरुषः,8.2	सप्तमी_तत्पुरुषः,8.2	CP	कर्मों_के_और_उनके_फल_के_सम्बन्ध_से	by_association_with_fruitive_activity	<कर्म-सङ्गेन>T7	-
8.2	सङ्गेन	-	-	सङ्ग{पुं}{3;एक}	सङ्ग{पुं}{3;एक}	करणम्,6.1	करणम्,6.1	N3				-
9.1	देहिनम्	9	देहिनम्	देहिन्{पुं}{2;एक}	देहिन्{पुं}{2;एक}	कर्म,6.1	कर्म,6.1	N2	इस_जीवात्मा_को	the_embodied	-	-
9.1.1	(रजः)	8	(0)	(रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक})	(रजस्{नपुं}{1;एक})	कर्ता,6.1	कर्ता,6.1	N1	(रजोगुण_को)	mode_of_passion	-	-
