index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	सत्त्वम्	2	सत्त्वं	सत्त्व{पुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}/सत्त्व{नपुं}{1;एक}/सत्त्व{नपुं}{2;एक}	सत्त्व{नपुं}{1;एक}	कर्ता,3.1	कर्ता,3.1	N1	सत्त्वगुण	mode_of_goodness	-	-
2.1	सुखे	3	सुखे	सुख{पुं}{7;एक}/सुख{नपुं}{1;द्वि}/सुख{नपुं}{2;द्वि}/सुख{नपुं}{7;एक}/सुख{नपुं}{8;द्वि}/सुखा{स्त्री}{1;द्वि}/सुखा{स्त्री}{2;द्वि}/सुखा{स्त्री}{8;एक}/सुखा{स्त्री}{8;द्वि}/सुखी{नपुं}{8;एक}	सुख{नपुं}{7;एक}	अधिकरणम्,3.1	अधिकरणम्,3.1	N7	सुख_में	in_happiness	-	-
3.1	सञ्जयति	4	सञ्जयति	सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;जि;भ्वादिः}/सञ्ज्1_णिच्{कर्तरि;लट्;प्र;एक;परस्मैपदी;षञ्जँ;भ्वादिः}	सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;सम्_जि;भ्वादिः}	अभिहितकर्ता,1.1;अकर्मकः.1	अभिहितकर्ता,1.1;अकर्मकः.1	KP	लगाता_है	develops	-	-
4.1	रजः	5	रजः	रजस्{पुं}{8;एक}/रजस्{नपुं}{1;एक}/रजस्{नपुं}{2;एक}/रजस्{नपुं}{8;एक}	रजस्{नपुं}{1;एक}	कर्ता,5.1.1	कर्ता,5.1.1	N1	रजोगुण	mode_of_passion	-	-
5.1	कर्मणि	6	कर्मणि	कर्मन्{नपुं}{7;एक}	कर्मन्{नपुं}{7;एक}	अधिकरणम्,5.1.1	अधिकरणम्,5.1.1	N7	कर्म_में	fruits_of_activities	-	-
5.1.1	(सञ्जयति)	7	(0)	(सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;जि;भ्वादिः}/सञ्ज्1_णिच्{कर्तरि;लट्;प्र;एक;परस्मैपदी;षञ्जँ;भ्वादिः})	(सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;सम्_जि;भ्वादिः})	अभिहितकर्ता,4.1;अकर्मकः.1	अभिहितकर्ता,4.1;अकर्मकः.1	KP	(लगाता_है)	develops	-	-
6.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	हे_अर्जुन	O_son_of_Bharata	-	-
7.1	ज्ञानम्	10	ज्ञानमावृत्य	ज्ञान{नपुं}{1;एक}/ज्ञान{नपुं}{2;एक}	ज्ञान{नपुं}{2;एक}	कर्म,8.1	कर्म,8.1	N2	ज्ञान_को	knowledge	-	-
8.1	आवृत्य	11	0	आङ्_वृ1{कृत्_प्रत्ययः:ल्यप्;वृ;भ्वादिः}/आङ्_वृ2{कृत्_प्रत्ययः:ल्यप्;वृञ्;स्वादिः}/आङ्_वृ4{कृत्_प्रत्ययः:ल्यप्;वृञ्;चुरादिः}/आङ्_वृत्1{कृत्_प्रत्ययः:ल्यप्;वृतुँ;भ्वादिः}/आङ्_वृत्2{कृत्_प्रत्ययः:ल्यप्;वृतुँ;दिवादिः}/आङ्_वृत्3{कृत्_प्रत्ययः:ल्यप्;वृतुँ;चुरादिः}	आङ्_वृ2{कृत्_प्रत्ययः:ल्यप्;आङ्_वृञ्;स्वादिः}	पूर्वकालः,12.1	पूर्वकालः,12.1	NA	ढककर	covering	-	-
9.1	तु	9	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,12.1	सम्बन्धः,12.1	NA	तो	but	-	-
10.1	तमः	8	तमः	तम{पुं}{1;एक}/तमस्{नपुं}{1;एक}/तमस्{नपुं}{2;एक}/तमस्{नपुं}{8;एक}	तमस्{नपुं}{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	तमोगुण	mode_of_ignorance	-	-
11.1	प्रमादे	12	प्रमादे	प्रमाद{पुं}{7;एक}	प्रमाद{पुं}{7;एक}	अधिकरणम्,12.1	अधिकरणम्,12.1	N7	प्रमाद_में	in_madness	-	-
12.1	सञ्जयति	14	सञ्जयत्युत	सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;जि;भ्वादिः}/सञ्ज्1_णिच्{कर्तरि;लट्;प्र;एक;परस्मैपदी;षञ्जँ;भ्वादिः}	सम्_जि1{कर्तरि;लट्;प्र;एक;परस्मैपदी;सम्_जि;भ्वादिः}	अभिहितकर्ता,10.1;अकर्मकः.1	अभिहितकर्ता,10.1;अकर्मकः.1	KP	लगाता_है	develops	-	-
13.1	उत	13	0	उत{अव्य}/उत{पुं}{8;एक}/उत{नपुं}{8;एक}	उत{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	भी	it_is_said	-	-
