index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color	hindi_meaning	english_meaning	samAsa	prayoga
												
1.1	ये	2	ये	यद्{पुं;1;बहु}/यद्{स्त्री;1;द्वि}/यद्{स्त्री;2;द्वि}/यद्{नपुं;1;द्वि}/यद्{नपुं;2;द्वि}	यद्{पुं;1;बहु}	कर्ता,6.1;नित्य_सम्बन्धः,14.1	कर्ता,6.1;नित्य_सम्बन्धः,14.1	N1	जो	one_who	-	-
2.1	तु	1	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	परंतु	but	-	-
3.1	सर्वाणि	4	सर्वाणि	सर्व{नपुं;1;बहु}/सर्व{नपुं;2;बहु}/सर्वाणी{स्त्री;8;एक}/सर्व्1{कर्तरि;लोट्;उ;एक;परस्मैपदी;षर्वँ;भ्वादिः}	सर्व{नपुं;2;बहु}	विशेषणम्,4.1	विशेषणम्,4.1	N2	सम्पूर्ण	everything	-	-
4.1	कर्माणि	5	कर्माणि	कर्मन्{नपुं;1;बहु}/कर्मन्{नपुं;2;बहु}	कर्मन्{नपुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2	कर्मों_को	activities	-	-
5.1	मयि	6	मयि	अस्मद्{सर्व;अ;7;एक}	देहवद्{पुं;3;बहु}	अधिकरणम्,6.1	अधिकरणम्,6.1	N7	मुझमें	unto_Me	-	-
6.1	सन्न्यस्य	7	सन्न्यस्य	सम्_नि_अस्3{कर्तरि;लोट्;म;एक;परस्मैपदी;असुँ;दिवादिः}	सम्_नि_अस्1{कृत्_प्रत्ययः:ल्यप्;सम्_नि_असँ;भ्वादिः}	पूर्वकालः,13.1	पूर्वकालः,13.1	NA	अर्पण_करके	giving_up	-	-
7.1	मत्-	3	मत्पराः	मत्	मत्	बहुव्रीहिः,7.2	बहुव्रीहिः,7.2	CP	मेरे_परायण_रहनेवाले_भक्तजन	being_attached_to_Me	<अस्मत्-पराः>Bs6	-
7.2	पराः	-			पर{पुं;1;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N1				-
8.1	अन्-	10	अनन्येनैव	अनन्य{पुं}{3;एक}/अनन्य{नपुं}{3;एक}	अनन्य{पुं}{3;एक}	बहुव्रीहिः,8.2	बहुव्रीहिः,8.2	CP	अनन्य	without_division	<न-अन्येन>Bsmn	-
8.2	अन्येन	-		पर{पुं;1;बहु}		विशेषणम्,10.1	विशेषणम्,10.1	N3				-
9.1	एव	9		एव{अव्य}	एव{अव्य}	सम्बन्धः,11.1	सम्बन्धः,11.1	NA	ही	certainly	-	-
10.1	योगेन	11	योगेन	योग{पुं;3;एक}	समुद्धर्तृ{पुं}{1;एक}	करणम्,12.1	करणम्,12.1	N3	भक्तियोग_से	by_practice_of_such_bhakti-yoga	-	-
11.1	माम्	8	मां	अस्मद्{सर्व;अ;2;एक}	अस्मद्{सर्व;अ;2;एक}	कर्म,12.1	कर्म,12.1	N2	मुझको	unto_Me	-	-
12.1	ध्यायन्तः	12	ध्यायन्त	ध्यायत्{पुं;1;बहु}/ध्यायत्{पुं;1;बहु}/ध्यै1{कृत्_प्रत्ययः:शतृ;ध्यै;भ्वादिः(ध्यायत्;पुं;1;बहु)}	ध्यै1{कृत्_प्रत्ययः:शतृ;ध्यै;भ्वादिः(ध्यायत्;पुं;1;बहु)}	वर्तमानसमानकालः,13.1	वर्तमानसमानकालः,13.1	N1	निरन्तर_चिन्तन_करते_हुए	meditating	-	-
13.1	उपासते	13	उपासते	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;आसँ;अदादिः}	उप_आस्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;उप_आसँ;अदादिः}	अभिहित_कर्ता,1.1;सकर्मकः.1	अभिहित_कर्ता,1.1;सकर्मकः.1	KP	भजते_हैं	worship	-	-
14.1	तेषाम्	15	तेषामहं	तद्{पुं;6;बहु}/तद्{नपुं;6;बहु}	तद्{पुं;6;बहु}	विशेषणम्,22.2	विशेषणम्,22.2	N6	उन	of_them	-	-
15.1	अहम्	18		अस्मद्{सर्व;अ;1;एक}	अस्मद्{सर्व;अ;1;एक}	कर्ता,18.1	कर्ता,18.1	N1	मैं	I	-	-
