index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	रजसि	1	रजसि	रजस्{पुं}{7;एक}/रजस्{नपुं}{7;एक}/रञ्ज्2{कर्तरि;लट्;म;एक;परस्मैपदी;रञ्जँ;भ्वादिः}	रजस्{नपुं}{7;एक}	कर्ता,1.1.1	कर्ता,1.1.1	N7	रजोगुण_के	in_passion	-	-
1.1.1	(विवृद्धे)	2	(0)	(विवृद्ध{पुं}{7;एक}/विवृद्ध{नपुं}{1;द्वि}/विवृद्ध{नपुं}{2;द्वि}/विवृद्ध{नपुं}{7;एक}/विवृद्धा{स्त्री}{1;द्वि}/विवृद्धा{स्त्री}{2;द्वि})	(वि_वृध्1{कृत्_प्रत्ययः:क्त;वि_वृधुँ;भ्वादिः;नपुं}{7;एक})	भावलक्षणसप्तमी_पूर्वकालः,5.1	भावलक्षणसप्तमी_पूर्वकालः,5.1	N7	(बढ़नेपर)	developed	-	-
2.1	प्रलयम्	4	प्रलयं	प्रलय{पुं}{2;एक}	प्रलय{पुं}{2;एक}	कर्म,3.1	कर्म,3.1	N2	मृत्यु_को	dissolution	-	-
3.1	गत्वा	5	गत्वा	गम्1{कृत्_प्रत्ययः:क्त्वा;गमॢँ;भ्वादिः}	गम्1{कृत्_प्रत्ययः:क्त्वा;गमॢँ;भ्वादिः}	पूर्वकालः,5.1	पूर्वकालः,5.1	NA	प्राप्त_होकर	attaining	-	-
4.1	कर्म-	6	कर्मसङ्गिषु	कर्मन्	कर्मन्	सप्तमी_तत्पुरुषः,4.2	सप्तमी_तत्पुरुषः,4.2	CP	कर्मों_की_आसक्तिवाले_मनुष्यों_में	in_the_association_of_fruitive_activities	<कर्म-सङ्गिषु>T7	-
4.2	सङ्गिषु	-	-	सङ्गिन्{पुं}{7;बहु}/सङ्गिन्{नपुं}{7;बहु}	सङ्गिन्{पुं}{7;बहु}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7				-
5.1	जायते	7	जायते	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	अभिहितकर्ता,5.1.1;अकर्मकः.1	अभिहितकर्ता,5.1.1;अकर्मकः.1	KP	उत्पन्न_होता_है	takes_birth	-	-
5.1.1	(पुरुषः)	3	(0)	(पुरुष{पुं}{1;एक})	(पुरुष{पुं}{1;एक})	कर्ता,5.1	कर्ता,5.1	N1	(पुरुष)	person	-	-
6.1	तथा	8	तथा	तथा{अव्य}	तथा{अव्य}	सम्बन्धः,10.1	सम्बन्धः,10.1	NA	तथा	thereafter	-	-
7.1	प्र-	11	प्रलीनस्तमसि	प्रलीन{पुं}{1;एक}	प्रलीन{पुं}{1;एक}	प्रादि_तत्पुरुषः,7.2	प्रादि_तत्पुरुषः,7.2	CP	मरा_हुआ	being_dissolved	<प्र-लीनः>Tp	-
7.2	लीनः	-	-			कर्ता,10.1	कर्ता,10.1	N1				-
8.1	तमसि	9	0	तमस्{नपुं}{7;एक}	तमस्{नपुं}{7;एक}	कर्ता,8.1.1	कर्ता,8.1.1	N7	तमोगुण_के	in_ignorance	-	-
8.1.1	(विवृद्धे)	10	(0)	(विवृद्ध{पुं}{7;एक}/विवृद्ध{नपुं}{1;द्वि}/विवृद्ध{नपुं}{2;द्वि}/विवृद्ध{नपुं}{7;एक}/विवृद्धा{स्त्री}{1;द्वि}/विवृद्धा{स्त्री}{2;द्वि})	(वि_वृध्1{कृत्_प्रत्ययः:क्त;वि_वृधुँ;भ्वादिः;नपुं}{7;एक})	भावलक्षणसप्तमी_पूर्वकालः,5.1	भावलक्षणसप्तमी_पूर्वकालः,5.1	N7	(बढ़नेपर)	developed	-	-
9.1	मूढ-	12	मूढयोनिषु	मूढ	मूढ	कर्मधारयः,9.2	कर्मधारयः,9.2	CP	मूढयोनियों_में	animal_species	<मूढ-योनिषु>K1	-
9.2	योनिषु	-	-	योनि{पुं}{7;बहु}	योनि{पुं}{7;बहु}	अधिकरणम्,8.1.1	अधिकरणम्,8.1.1	N7				-
10.1	जायते	13	जायते	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	जन्3{कर्तरि;लट्;प्र;एक;आत्मनेपदी;जनीँ;दिवादिः}	अभिहितकर्ता,7.1;अकर्मकः.1	अभिहितकर्ता,7.1;अकर्मकः.1	KP	उत्पन्न_होता_है	take_birth	-	-
