index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	मम	2	मम	अस्मद्{6;एक}	अस्मद्{6;एक}	षष्ठीसम्बन्धः,2.1	षष्ठीसम्बन्धः,2.1	N6	मेरी	my	-	-
2.1	योनिः	5	योनिर्महद्ब्रह्म	योनि{पुं}{1;एक}	योनि{पुं}{1;एक}	कर्ता,4.1.1	कर्ता,4.1.1	N1	योनि	source_of_birth	-	-
3.1	महत्	3	0	महत्{नपुं}{1;एक}/महत्{नपुं}{2;एक}	महत्{नपुं}{1;एक}	विशेषणम्,4.1	विशेषणम्,4.1	N1	सम्पूर्ण	the_total_material_existence	-	-
4.1	ब्रह्म	4	0	ब्रह्मन्{नपुं}{1;एक}/ब्रह्मन्{नपुं}{2;एक}	ब्रह्मन्{नपुं}{1;एक}	कर्तृसमानाधिकरणम्,4.1.1	कर्तृसमानाधिकरणम्,4.1.1	N1	ब्रह्मरूप	supreme	-	-
4.1.1	(अस्ति)	6	(0)	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	(अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;असँ;अदादिः})	अभिहितकर्ता,2.1;अकर्मकः.1	अभिहितकर्ता,2.1;अकर्मकः.1	KP	(है)	is	-	-
5.1	तस्मिन्	8	तस्मिन्गर्भं	तद्{पुं}{7;एक}/तद्{नपुं}{7;एक}	तद्{पुं}{7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	उसमें_(योनि_में)	in_that	-	-
6.1	गर्भम्	9	0	गर्भ{पुं}{2;एक}	गर्भ{पुं}{2;एक}	कर्म,7.1	कर्म,7.1	N2	चेतन-समुदायरूप_गर्भ_को	pregnancy	-	-
7.1	दधामि	10	दधाम्यहं	धा1{कर्तरि;लट्;उ;एक;परस्मैपदी;डुधाञ्;जुहोत्यादिः}	धा1{कर्तरि;लट्;उ;एक;परस्मैपदी;डुधाञ्;जुहोत्यादिः}	अभिहितकर्ता,8.1;अकर्मकः.1	अभिहितकर्ता,8.1;अकर्मकः.1	KP	स्थापन_करता_हूँ	create	-	-
8.1	अहम्	7	0	अस्मद्{1;एक}	अस्मद्{1;एक}	कर्ता,7.1	कर्ता,7.1	N1	मैं	I	-	-
9.1	सम्भवः	13	सम्भवः	सम्भव{पुं}{1;एक}	सम्भव{पुं}{1;एक}	कर्ता,12.1	कर्ता,12.1	N1	उत्पत्ति	possibility	-	-
10.1	सर्व-	12	सर्वभूतानां	सर्व	सर्व	कर्मधारयः,10.2	कर्मधारयः,10.2	CP	सब_भूतों_की	of_all_living_entities	<सर्व-भूतानां>K1	-
10.2	भूतानाम्	-	-	भूत{पुं}{6;बहु}/भूत{नपुं}{6;बहु}/भूता{स्त्री}{6;बहु}	भूत{पुं}{6;बहु}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6				-
11.1	ततः	11	ततो	ततः{अव्य}	ततः{अव्य}	अपादानम्,12.1	अपादानम्,12.1	NA	उससे_(जड़-चेतन_के_संयोग_से)	thereafter	-	-
12.1	भवति	14	भवति	भवत्{पुं}{7;एक}/भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}	भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भू;भ्वादिः}	अभिहितकर्ता,9.1;अकर्मकः.1	अभिहितकर्ता,9.1;अकर्मकः.1	KP	होती_है	becomes	-	-
13.1	भारत	1	भारत	भारत{नपुं}{8;एक}/भारत{पुं}{8;एक}	भारत{पुं}{8;एक}	सम्बोध्यः,12.1	सम्बोध्यः,12.1	N8	हे_अर्जुन	O_son_of_Bharata	-	-
												
