index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	लोभः	4	लोभः	लोभ{पुं}{1;एक}	लोभ{पुं}{1;एक}	सुप्समुच्चितम्,6.1	सुप्समुच्चितम्,6.1	N1	लोभ	greed	-	-
2.1	प्रवृत्तिः	5	प्रवृत्तिरारम्भः	प्रवृत्ति{स्त्री}{1;एक}	प्रवृत्ति{स्त्री}{1;एक}	सुप्समुच्चितम्,6.1	सुप्समुच्चितम्,6.1	N1	प्रवृत्ति	hankering	-	-
3.1	आरम्भः	7	0	आरम्भ{पुं}{1;एक}	आरम्भ{पुं}{1;एक}	सुप्समुच्चितम्,6.1	सुप्समुच्चितम्,6.1	N1	आरम्भ	endeavor	-	-
4.1	कर्मणाम्	6	कर्मणामशमः	कर्मन्{नपुं}{6;बहु}	कर्मन्{नपुं}{6;बहु}	षष्ठीसम्बन्धः,3.1	षष्ठीसम्बन्धः,3.1	N6	कर्मों_का	of_activities	-	-
5.1	अ-	8	0	शम्1{कर्तरि;लङ्;म;एक;परस्मैपदी;शमोँ;भ्वादिः}/शम्2{कर्तरि;लुङ्;म;एक;परस्मैपदी;शमुँ;दिवादिः}	न	नञ्_तत्पुरुषः,5.2	नञ्_तत्पुरुषः,5.2	CP	अशान्ति	uncontrollable	<न-शमः>Tn	-
5.2	शमः	-	-		शम{पुं}{1;एक}	सुप्समुच्चितम्,6.1	सुप्समुच्चितम्,6.1	N1				-
6.1	स्पृहा	10	स्पृहा	स्पृहा{स्त्री}{1;एक}	स्पृहा{स्त्री}{1;एक}	कर्ता,9.1	कर्ता,9.1	N1	विषय-भोगों_की_लालसा	desire	-	-
6.1.1	(च)	9	(0)	(च{अव्य})	(च{अव्य})	समुच्चयद्योतकः,6.1	समुच्चयद्योतकः,6.1	NA	(और)	also	-	-
7.1	रजसि	2	रजस्येतानि	रजस्{पुं}{7;एक}/रजस्{नपुं}{7;एक}/रञ्ज्2{कर्तरि;लट्;म;एक;परस्मैपदी;रञ्जँ;भ्वादिः}	रजस्{नपुं}{7;एक}	कर्ता,10.1	कर्ता,10.1	N7	रजोगुण_के	in_the_mode_of_passion	-	-
8.1	एतानि	11	0	एतद्{नपुं}{1;बहु}/एतद्{नपुं}{2;बहु}	एतद्{नपुं}{1;बहु}	विशेषणम्,6.1	विशेषणम्,6.1	N1	ये_(सब)	all_this	-	-
9.1	जायन्ते	12	जायन्ते	जै1{भावे;लट्;प्र;बहु;आत्मनेपदी;जै;भ्वादिः}/जन्1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;जनीँ;दिवादिः}/जन्2{भावे;लट्;प्र;बहु;आत्मनेपदी;जनँ;जुहोत्यादिः}/जन्3{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;जनीँ;दिवादिः}/जन्3{भावे;लट्;प्र;बहु;आत्मनेपदी;जनीँ;दिवादिः}	जन्3{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;जनीँ;दिवादिः}	अभिहितकर्ता,6.1;अकर्मकः.1	अभिहितकर्ता,6.1;अकर्मकः.1	KP	उत्पन्न_होते_हैं	develop	-	-
10.1	विवृद्धे	3	विवृद्धे	विवृद्ध{पुं}{7;एक}/विवृद्ध{नपुं}{1;द्वि}/विवृद्ध{नपुं}{2;द्वि}/विवृद्ध{नपुं}{7;एक}/विवृद्धा{स्त्री}{1;द्वि}/विवृद्धा{स्त्री}{2;द्वि}	वि_वृध्1{कृत्_प्रत्ययः:क्त;वि_वृधुँ;भ्वादिः;नपुं}{7;एक}	भावलक्षणसप्तमी_पूर्वकालः,9.1	भावलक्षणसप्तमी_पूर्वकालः,9.1	N7	बढ़नेपर	when_there_is_excess	-	-
11.1	भरतर्षभ	1	भरतर्षभ	भरतर्षभ{पुं}{8;एक}	भरतर्षभ{पुं}{8;एक}	सम्बोध्यः,9.1	सम्बोध्यः,9.1	N8	हे_अर्जुन	O_chief_of_the_descendants_of_Bharata	-	-
