index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	गुणान्	5	गुणानेतानतीत्य	गुण{पुं}{2;बहु}	गुण{पुं}{2;बहु}	कर्म,3.1	कर्म,3.1	N2	गुणों_को	qualities	-	-
2.1	एतान्	3	0	एतद्{पुं}{2;बहु}	एतद्{पुं}{2;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N2	इन	all_these	-	-
3.1	अतीत्य	6	0	अतीत्य	अति_इ1{कृत्_प्रत्ययः:ल्यप्;अति_इ;अदादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	NA	उल्लंघन_करके	transcending	-	-
4.1	त्रीन्	4	त्रीन्देही	त्रि{पुं}{2;बहु}/त्रि{पुं}{2;बहु}	त्रि{पुं}{2;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N2	तीनों	three	-	-
5.1	देही	1	0	देहिन्{पुं}{1;एक}	देहिन्{पुं}{1;एक}	कर्ता,10.1	कर्ता,10.1	N1	पुरुष	embodied	-	-
6.1	देह-	2	देहसमुद्भवान्	देह	देह	पञ्चमी-तत्पुरुषः,6.2	पञ्चमी-तत्पुरुषः,6.2	CP	शरीर_की_उत्पत्ति_के_कारणरूप	produced_of_body	<देह-समुद्भवान्>T6	-
6.2	समुद्भवान्	-	-	समुद्भव{पुं}{2;बहु}	समुद्भव{पुं}{2;बहु}	विशेषणम्,1.1	विशेषणम्,1.1	N2				-
7.1	जन्म-	7	जन्ममृत्युजरादुःखैर्विमुक्तोऽमृतमश्नुते	जन्मन्	जन्मन्	इतरेतर-द्वन्द्वः,7.2	इतरेतर-द्वन्द्वः,7.2	CP	जन्म_मृत्यु_वृद्धावस्था_और_दुःखों_से	birth_death_old_age_and_distresses	<जन्म-मृत्यु-जरा-दुःखैः>Di	-
7.2	मृत्यु-	-	-	मृत्यु	मृत्यु	इतरेतर-द्वन्द्वः,7.3	इतरेतर-द्वन्द्वः,7.3	CP				-
7.3	जरा-	-	-	जरा	जरा	इतरेतर-द्वन्द्वः,7.4	इतरेतर-द्वन्द्वः,7.4	CP				-
7.4	दुःखैः	-	-	दुःख{नपुं}{3;बहु}	दुःख{नपुं}{3;बहु}	हेतुः,10.1	हेतुः,10.1	N3				-
8.1	वि-	8	0	विमुक्त{पुं}{1;एक}	वि_मुच्1{कृत्_प्रत्ययः:क्त;वि_मुचॢँ;तुदादिः;पुं}{1;एक}	बहुव्रीहिः ,8.2	बहुव्रीहिः ,8.2	CP	मुक्त_हुआ	being_freed_from	<वि-मुक्तः>Bvp	-
8.2	मुक्तः	-	-			विशेषणम्,5.1	विशेषणम्,5.1	N1				-
9.1	अमृतम्	9	0	अमृत{पुं}{2;एक}/अमृत{नपुं}{1;एक}/अमृत{नपुं}{2;एक}	अमृत{नपुं}{2;एक}	कर्म,10.1	कर्म,10.1	N2	परमानन्द_को	nectar	-	-
10.1	अश्नुते	10	0	अश्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;अशूँ;स्वादिः}	अश्1{कर्तरि;लट्;प्र;एक;आत्मनेपदी;अशूँ;स्वादिः}	अभिहितकर्ता,5.1;सकर्मकः.1	अभिहितकर्ता,5.1;सकर्मकः.1	KP	प्राप्त_होता_है	enjoys	-	-
												
