index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	ऊर्ध्वम्	2	ऊर्ध्वं	ऊर्ध्वम्{अव्य}	ऊर्ध्वम्{अव्य}	अधिकरणम्,2.1	अधिकरणम्,2.1	NA	स्वर्गादि_उच्च_लोकों_को	upwards	-	-
2.1	गच्छन्ति	3	गच्छन्ति	गच्छत्{नपुं}{1;बहु}/गच्छत्{नपुं}{2;बहु}/गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;गमॢँ;भ्वादिः}	गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;गमॢँ;भ्वादिः}	अभिहितकर्ता,3.1;सकर्मकः.1	अभिहितकर्ता,3.1;सकर्मकः.1	KP	जाते_हैं	go	-	-
3.1	सत्त्व-	1	सत्त्वस्था	सत्त्वस्थ{पुं}{1;बहु}	सत्त्व	उपपद_तत्पुरुषः,3.2	उपपद_तत्पुरुषः,3.2	CP	सत्त्वगुण_में_स्थित_पुरुष	one_who_is_situated_in_the_mode_of_goodness	<सत्त्व-स्थाः>U	-
3.2	स्थाः	-	-		स्थ{पुं}{1;बहु}	कर्ता,2.1	कर्ता,2.1	N1				-
4.1	मध्ये	5	मध्ये	मध्य{पुं}{7;एक}/मध्य{नपुं}{1;द्वि}/मध्य{नपुं}{2;द्वि}/मध्य{नपुं}{7;एक}/मध्या{स्त्री}{1;द्वि}/मध्या{स्त्री}{2;द्वि}	मध्य{पुं}{7;एक}	अधिकरणम्,5.1	अधिकरणम्,5.1	N7	मध्य_में_अर्थात्_मनुष्यलोक_में	in_the_middle	-	-
5.1	तिष्ठन्ति	6	तिष्ठन्ति	तिष्ठत्{नपुं}{1;बहु}/तिष्ठत्{नपुं}{2;बहु}/स्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्ठा;भ्वादिः}	स्था1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ष्ठा;भ्वादिः}	अभिहितकर्ता,6.1;सकर्मकः.1	अभिहितकर्ता,6.1;सकर्मकः.1	KP	रहते_हैं	dwell	-	-
6.1	राजसाः	4	राजसाः	राजस{पुं}{1;बहु}/राजसा{स्त्री}{1;बहु}/राजसा{स्त्री}{2;बहु}	राजस{पुं}{1;बहु}	कर्ता,5.1	कर्ता,5.1	N1	रजोगुण_में_स्थित_राजस_पुरुष	those_who_are_situated_in_the_mode_of_passion	-	-
7.1	जघन्य-	7	जघन्यगुणवृतिस्था	जघन्य	जघन्य	कर्मधारयः,7.2	कर्मधारयः,7.2	CP	तमोगुण_के_कार्यरूप_निद्रा_प्रमाद_और_आलस्यादि_में_स्थित	occupation_of_abominable_quality	<<<जघन्य-गुण>K1-वृत्तिः>T6-स्थाः>U	-
7.2	गुण-	-	-	गुण	गुण	षष्ठी-तत्पुरुषः,7.3	षष्ठी-तत्पुरुषः,7.3	CP				-
7.3	वृत्ति-	-	-	वित्तिस्थाः	वृत्ति	उपपद_तत्पुरुषः,7.4	उपपद_तत्पुरुषः,7.4	CP				-
7.4	स्थाः	-	-		स्थ{पुं}{1;बहु}	विशेषणम्,10.1	विशेषणम्,10.1	N1				-
8.1	अधः	9	अधो	अधः{अव्य}	अधः{अव्य}	अधिकरणम्,9.1	अधिकरणम्,9.1	NA	अधोगति_को	down	-	-
9.1	गच्छन्ति	10	गच्छन्ति	गच्छत्{नपुं}{1;बहु}/गच्छत्{नपुं}{2;बहु}/गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;गमॢँ;भ्वादिः}	गम्1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;गमॢँ;भ्वादिः}	अभिहितकर्ता,10.1;सकर्मकः.1	अभिहितकर्ता,10.1;सकर्मकः.1	KP	प्राप्त_होते_हैं	go	-	-
10.1	तामसाः	8	तामसाः	तामस{पुं}{1;बहु}	तामस{पुं}{1;बहु}	कर्ता,9.1	कर्ता,9.1	N1	तामस_पुरुष	people_in_the_mode_of_ignorance	-	-
												
