index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	english_meaning	samAsa	prayoga
1.1	शुचौ	1	शुचौ	शुच्{स्त्री;1;द्वि}/शुच्{स्त्री;2;द्वि}/शुचि{पुं;7;एक}/शुचि{स्त्री;7;एक}	शुचि{पुं;7;एक}	विशेषणम्,2.1	विशेषणम्,2.1	N7	शुद्ध	in_a_sanctified	-	-
2.1	देशे	2	देशे	देश{पुं;7;एक}	देश{पुं;7;एक}	अधिकरणम्,3.1	अधिकरणम्,3.1	N7	भूमि_में	in_the_land	-	-
3.1	प्रतिष्ठाप्य	11	प्रतिष्ठाप्य	प्रतिष्ठाप्य{पुं;8;एक}/प्रतिष्ठाप्य{नपुं;8;एक}/प्रति_स्था1_णिच्{कृत्_प्रत्ययः;ल्यप्;णिच्;भ्वादिः}	प्रति_स्था1_णिच्{कृत्_प्रत्ययः;ल्यप्;णिच्;भ्वादिः}	पूर्वकालः,19.1	पूर्वकालः,19.1	NA	स्थापन_करके	placing	-	-
4.1	स्थिरम्	10	स्थिरमासनमात्मनः	स्थिर{पुं;2;एक}/स्थिर{नपुं;2;एक}	स्थिर{नपुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2	स्थिर	firm	-	-
5.1	आसनम्	9	0	आसन{नपुं;1;एक}/आसन{नपुं;2;एक}	आसन{नपुं;2;एक}	कर्म,3.1	कर्म,3.1	N2	आसन_को	seat	-	-
6.1	आत्मनः	8	0	आत्मन्{पुं;2;बहु}/आत्मन्{पुं;5;एक}/आत्मन्{पुं;6;एक}	आत्मन्{पुं;6;एक}	षष्ठीसम्बन्धः,5.1	षष्ठीसम्बन्धः,5.1	N6	अपने	self-dependent	-	-
7.1	न	3	नात्युच्छ्रितं	न{अव्य}	न{अव्य}	सम्बन्धः,8.1	सम्बन्धः,8.1	NA	न	not	-	-
8.1	अत्युच्छ्रितम्	4	0	अति_उत्_श्रि1{कृत्_प्रत्ययः;क्त;श्रिञ्;भ्वादिः;नपुं;2;एक}	अति_उत्_श्रि1{कृत्_प्रत्ययः;क्त;श्रिञ्;भ्वादिः;नपुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2	बहुत_ऊँचा	too_high	-	-
9.1	न	5	नातिनीचं	न{अव्य}	न{अव्य}	सम्बन्धः,10.2	सम्बन्धः,10.2	NA	न	nor	-	-
10.1	अति-	6	0	अति	अति	तत्पुरुषः,10.2	तत्पुरुषः,10.2	CP	बहुत_नीचा	too_low	-	-
10.2	नीचम्	-	-	नीच{नपुं;2;एक}	नीच{नपुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2				-
11.1	चैल-	7	चैलाजिनकुशोत्तरम्	चैल	चैल	द्वन्द्वः,11.2	द्वन्द्वः,11.2	CP	कुशा_मृगछाला_और_वस्त्र_बिछे	kusa_grass,_soft_cloth_and_deerskin	<<चैल-अजिन-कुश>Di-उत्तरम्>Bs7	-
11.2	अजिन-	-	-	अजिन	अजिन	पञ्चमी-तत्पुरुषः,11.3	पञ्चमी-तत्पुरुषः,11.3	CP				-
11.3	कुश-	-	-	कुश	कुश	बहुव्रीहिः,11.4	बहुव्रीहिः,11.4	CP				-
11.4	उत्तरम्	-	-	उत्तरम्{अव्य}/उत्तर{पुं;2;एक}/उत्तर{नपुं;1;एक}/उत्तर{नपुं;2;एक}/उत्तर{पुं;2;एक}/उत्तर{नपुं;1;एक}/उत्तर{नपुं;2;एक}	उत्तर{नपुं;2;एक}	विशेषणम्,5.1	विशेषणम्,5.1	N2				-
12.1	तत्र	12	तत्रैकाग्रं	तत्र{अव्य}	तत्र{अव्य}	विशेषणम्,18.1	विशेषणम्,18.1	NA	उस	thereupon	-	-
13.1	एक-	16	0	एक	एक	बहुव्रीहिः,13.2	बहुव्रीहिः,13.2	CP	एकाग्र	one_attention	<एक-अग्रम्>Bs6	-
13.2	अग्रम्	-	-	अग्र{नपुं;1;एक}/अग्र{नपुं;2;एक}	अग्र{नपुं;2;एक}	कर्मसमानाधिकरणम्,15.1	कर्मसमानाधिकरणम्,15.1	N2				-
14.1	मनः	15	मनः	मनस्{नपुं;1;एक}/मनस्{नपुं;2;एक}	मनस्{नपुं;2;एक}	कर्म,15.1	कर्म,15.1	N2	मन_को	mind	-	-
15.1	कृत्वा	17	कृत्वा	कृ1{कृत्_प्रत्ययः:क्त्वा;कृञ्;भ्वादिः}/कृ2{कृत्_प्रत्ययः:क्त्वा;कृञ्;स्वादिः}/कृ3{कृत्_प्रत्ययः;क्त्वा;डुकृञ्;तनादिः}	कृ3{कृत्_प्रत्ययः;क्त्वा;डुकृञ्;तनादिः}	पूर्वकालः,19.1	पूर्वकालः,19.1	NA	करके	doing_so	-	-
16.1	यत-	18	यतचित्तेन्द्रियक्रियः	यत	यत	द्वन्द्वः,16.2	द्वन्द्वः,16.2	CP	चित्त_और_इन्द्रियों_की_क्रियाओं_को_वश_में_रखते_हुए	controlling_the_activities_of_the_mind_and_senses	<यत-<<चित्त-इन्द्रिय>Di-क्रियः>T6>Bs3	-
16.2	चित्त-	-	-	चित्त	चित्त	षष्ठी-तत्पुरुषः,16.3	षष्ठी-तत्पुरुषः,16.3	CP				-
16.3	इन्द्रिय-	-	-	इन्द्रिय	इन्द्रिय	बहुव्रीहिः,16.4	बहुव्रीहिः,16.4	CP				-
16.4	क्रियः	-	-	क्रिय{पुं;1;एक}	क्रिय{पुं;1;एक}	कर्ता,19.1;कर्ता,3.1;कर्ता,15.1;कर्ता,17.1	कर्ता,19.1;कर्ता,3.1;कर्ता,15.1;कर्ता,17.1	N1				-
17.1	उपविश्य	14	उपविश्यासने	उप_विश्1{कृत्_प्रत्ययः;ल्यप्;विशँ;तुदादिः}	उप_विश्1{कृत्_प्रत्ययः;ल्यप्;विशँ;तुदादिः}	पूर्वकालः,19.1	पूर्वकालः,19.1	NA	बैठकर	sitting_on	-	-
