index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha.1	kaaraka_sambandha.1	color	hindi_meaning	english_meaning	samAsa	prayoga
1.1	कर्मणः	2	कर्मणः	कर्मन्{नपुं}{5;एक}/कर्मन्{नपुं}{6;एक}	कर्मन्{नपुं}{6;एक}	षष्ठीसम्बन्धः,4.1	षष्ठीसम्बन्धः,4.1	N6	कर्म_का	of_work	-	-
2.1	सु-	1	सुकृतस्याहुः	सुकृत{नपुं}{6;एक}	सुकृत{नपुं}{6;एक}	कर्मधारयः,2.2	कर्मधारयः,2.2	CP	श्रेष्ठ	in_the_mode_of_goodness	<सु-कृतस्य>K1	-
2.2	कृतस्य	-	-			विशेषणम्,1.1	विशेषणम्,1.1	N6				-
3.1	आहुः	6	0	अह्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;अहँ;स्वादिः}/ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः}	ब्रू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;ब्रूञ्;अदादिः}			KP	कहा_है	said	-	-
4.1	सात्त्विकम्	3	सात्विकं	सात्विकम्	सात्त्विक{नपुं}{2;एक}	विशेषणम्,6.1	विशेषणम्,6.1	N2	सात्त्विक	mode_of_goodness	-	-
5.1	निर्-	4	निर्मलं	निर्मल{पुं}{2;एक}/निर्मल{नपुं}{1;एक}/निर्मल{नपुं}{2;एक}	निर्मल{नपुं}{2;एक}	बहुव्रीहिः ,5.2	बहुव्रीहिः ,5.2	CP	निर्मल	purified	<निर्-मलं>Bvp	-
5.2	मलम्	-	-			विशेषणम्,6.1	विशेषणम्,6.1	N2				-
6.1	फलम्	5	फलम्	फल{नपुं}{1;एक}/फल{नपुं}{2;एक}	फल{नपुं}{2;एक}	कर्म,3.1	कर्म,3.1	N2	फल	result	-	-
7.1	रजसः	8	रजसस्तु	रजस्{पुं}{1;बहु}/रजस्{पुं}{2;बहु}/रजस्{पुं}{5;एक}/रजस्{पुं}{6;एक}/रजस्{नपुं}{5;एक}/रजस्{नपुं}{6;एक}	रजस्{नपुं}{6;एक}	षष्ठीसम्बन्धः,9.1	षष्ठीसम्बन्धः,9.1	N6	राजस_कर्म_का	of_the_mode_of_passion	-	-
8.1	तु	7	0	तु{अव्य}	तु{अव्य}	सम्बन्धः,10.1.1	सम्बन्धः,10.1.1	NA	किन्तु	but	-	-
9.1	फलम्	9	फलं	फल{नपुं}{1;एक}/फल{नपुं}{2;एक}	फल{नपुं}{2;एक}	कर्ता,10.1.1	कर्ता,10.1.1	N2	फल	result	-	-
10.1	दुःखम्	10	दुःखमज्ञानं	दुःख{नपुं}{1;एक}/दुःख{नपुं}{2;एक}	दुःख{नपुं}{2;एक}	कर्तृसमानाधिकरणम्,10.1.1	कर्तृसमानाधिकरणम्,10.1.1	N2	दुःख	misery	-	-
10.1.1	(आहुः)	11	(0)	(अह्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;अहँ;स्वादिः}/ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः})	(ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः})			KP	(कहा_है)	said	-	-
11.1	अ-	14	0	अज्ञान{नपुं}{1;एक}/अज्ञान{नपुं}{2;एक}	अज्ञान{नपुं}{2;एक}	नञ्_तत्पुरुषः,11.2	नञ्_तत्पुरुषः,11.2	CP	अज्ञान	nonsense	<न-ज्ञानम्>Tn	-
11.2	ज्ञानम्	-	-			कर्तृसमानाधिकरणम्,13.1.1	कर्तृसमानाधिकरणम्,13.1.1	N2				-
12.1	तमसः	12	तमसः	तमस्{नपुं}{5;एक}/तमस्{नपुं}{6;एक}/तमस{पुं}{1;एक}	तमस्{नपुं}{6;एक}	षष्ठीसम्बन्धः,11.1	षष्ठीसम्बन्धः,11.1	N6	तामस_कर्म_का	of_the_mode_of_ignorance	-	-
13.1	फलम्	13	फलम्	फल{नपुं}{1;एक}/फल{नपुं}{2;एक}	फल{नपुं}{2;एक}	कर्ता,13.1.1	कर्ता,13.1.1	N2	फल	result	-	-
13.1.1	(आहुः)	15	(0)	(अह्1{कर्तरि;लिट्;प्र;बहु;परस्मैपदी;अहँ;स्वादिः}/ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः})	(ब्रू1{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;ब्रूञ्;अदादिः})	-0.1	-0.1	KP	(कहा_है)	said	-	-
